id_customer,merchant_name,id_order,order_date,order_total_paid,order_delivery_fee,order_total_promo,order_tip,order_year,order_normal_price,deliveroo_plus
84712,deliveroo,33543002,2018-12-06,17.24,0.0,0.0,1.0,2018,17.24,1
84712,deliveroo,33909663,2018-12-11,13.0,0.0,2.75,0.0,2018,15.75,1
84712,deliveroo,35508623,2018-12-28,41.7,0.0,0.0,0.0,2018,41.7,1
84712,deliveroo,39473899,2019-01-26,17.57,0.0,0.0,0.0,2019,17.57,1
84712,deliveroo,42320412,2019-02-13,16.32,0.0,0.0,1.0,2019,16.32,1
84712,deliveroo,42748018,2019-02-16,12.1,0.0,0.0,0.0,2019,12.1,1
84712,deliveroo,45726898,2019-03-31,12.14,0.0,0.0,1.0,2019,12.14,1
84963,deliveroo,43320007,2019-02-24,19.23,0.0,0.0,0.0,2019,19.23,1
84963,deliveroo,43842523,2019-03-02,32.22,0.0,0.0,0.0,2019,32.22,1
85204,deliveroo,39508642,2019-01-27,19.88,0.0,0.0,0.0,2019,19.88,1
85204,deliveroo,41278759,2019-02-03,19.64,0.0,0.0,0.0,2019,19.64,1
85461,deliveroo,27808391,2018-09-13,12.58,0.0,0.0,0.0,2018,12.58,1
85646,deliveroo,32170807,2018-11-17,34.49,0.0,0.0,0.0,2018,34.49,1
85646,deliveroo,32421050,2018-11-25,29.5,0.0,0.0,0.0,2018,29.5,1
85646,deliveroo,33909774,2018-09-19,14.02,0.0,0.0,0.0,2018,14.02,1
85646,deliveroo,33909775,2018-09-16,12.3,0.0,0.0,0.0,2018,12.3,1
85646,deliveroo,33909777,2018-09-09,12.49,0.0,0.0,0.0,2018,12.49,1
85646,deliveroo,34146066,2018-12-15,68.75,0.0,0.0,0.0,2018,68.75,1
85710,deliveroo,35637137,2019-01-05,26.52,0.0,0.0,0.0,2019,26.52,1
85964,deliveroo,39188713,2019-01-17,14.05,0.0,5.0,0.0,2019,19.05,1
86180,deliveroo,33832607,2018-12-10,43.82,0.0,0.0,0.0,2018,43.82,1
86180,deliveroo,35651687,2019-01-06,29.68,0.0,0.0,0.0,2019,29.68,1
86450,deliveroo,34131987,2018-12-16,22.52,0.0,0.0,0.0,2018,22.52,1
86960,deliveroo,27242605,2018-10-03,16.49,0.0,0.0,1.0,2018,16.49,1
86960,deliveroo,27304531,2018-10-05,14.82,0.0,0.0,1.0,2018,14.82,1
86960,deliveroo,27304533,2018-10-01,16.68,0.0,0.0,1.0,2018,16.68,1
86960,deliveroo,27808723,2018-09-29,17.36,0.0,0.0,1.0,2018,17.36,1
86960,deliveroo,27808724,2018-09-26,20.16,0.0,0.0,1.0,2018,20.16,1
86960,deliveroo,27808725,2018-09-25,14.48,0.0,0.0,1.0,2018,14.48,1
86960,deliveroo,27808726,2018-09-21,61.62,0.0,0.0,1.0,2018,61.62,1
86960,deliveroo,27808727,2018-09-21,61.6,0.0,0.0,1.0,2018,61.6,1
86960,deliveroo,27808728,2018-09-21,63.6,0.0,0.0,1.0,2018,63.6,1
86960,deliveroo,27808729,2018-09-21,15.89,0.0,0.0,1.0,2018,15.89,1
86960,deliveroo,35647964,2019-01-04,16.61,0.0,0.0,1.0,2019,16.61,1
86960,deliveroo,35647970,2019-01-03,16.05,0.0,0.0,1.0,2019,16.05,1
86960,deliveroo,36568345,2019-01-09,14.11,0.0,0.0,1.0,2019,14.11,1
86960,deliveroo,36693745,2019-01-11,19.32,0.0,0.0,1.0,2019,19.32,1
86960,deliveroo,37795095,2019-01-13,29.24,0.0,0.0,1.0,2019,29.24,1
86960,deliveroo,37831805,2019-01-14,16.88,0.0,0.0,1.0,2019,16.88,1
86960,deliveroo,38531575,2019-01-17,14.36,0.0,0.0,1.0,2019,14.36,1
86960,deliveroo,38767374,2019-01-20,21.07,0.0,0.0,1.0,2019,21.07,1
86960,deliveroo,38767377,2019-01-19,14.23,0.0,0.0,1.0,2019,14.23,1
86960,deliveroo,38767378,2019-01-18,17.28,0.0,0.0,1.0,2019,17.28,1
86960,deliveroo,39415422,2019-01-24,19.77,0.0,0.0,1.0,2019,19.77,1
86960,deliveroo,39447784,2019-01-26,30.05,0.0,0.0,1.0,2019,30.05,1
86960,deliveroo,39447786,2019-01-25,15.38,0.0,0.0,1.0,2019,15.38,1
86960,deliveroo,40130326,2019-01-29,18.79,0.0,0.0,1.0,2019,18.79,1
86960,deliveroo,40415897,2019-01-31,20.19,0.0,0.0,1.0,2019,20.19,1
86960,deliveroo,40415898,2019-01-30,13.58,0.0,0.0,1.0,2019,13.58,1
86960,deliveroo,41278937,2019-02-03,28.48,0.0,0.0,1.0,2019,28.48,1
86960,deliveroo,41278938,2019-02-02,16.47,0.0,0.0,1.0,2019,16.47,1
86960,deliveroo,41447707,2019-02-04,16.97,0.0,0.0,1.0,2019,16.97,1
86960,deliveroo,41792589,2019-02-09,14.41,0.0,0.0,1.0,2019,14.41,1
86960,deliveroo,41792590,2019-02-06,21.28,0.0,0.0,1.0,2019,21.28,1
86960,deliveroo,41814608,2019-02-10,21.09,0.0,0.0,1.0,2019,21.09,1
86960,deliveroo,42320312,2019-02-13,20.76,0.0,0.0,1.0,2019,20.76,1
86960,deliveroo,42534700,2019-02-14,22.73,0.0,0.0,1.0,2019,22.73,1
86960,deliveroo,42568601,2019-02-15,20.94,0.0,0.0,1.0,2019,20.94,1
86960,deliveroo,42811627,2019-02-17,19.08,0.0,0.0,1.0,2019,19.08,1
86960,deliveroo,43255441,2019-02-20,21.88,0.0,0.0,1.0,2019,21.88,1
86960,deliveroo,43320339,2019-02-24,51.13,0.0,0.0,1.0,2019,51.13,1
